Operation Type,Counterparty,Currency,Trade Date,Settlement Date,Maturity Date,Term (days),Amount,Interest Rate,isSmallValue,Last Updated
U.S. Dollar Liquidity Swap,European Central Bank,USD,1/20/2021,1/21/2021,4/15/2021,84,21000000.00,0.33,,1/20/2021 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,1/13/2021,1/14/2021,4/8/2021,84,10000000.00,0.33,,1/13/2021 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,1/13/2021,1/14/2021,1/21/2021,7,62000000.00,0.34,,1/13/2021 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,1/6/2021,1/7/2021,1/14/2021,7,53600000.00,0.34,,1/6/2021 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,1/6/2021,1/7/2021,4/1/2021,84,120000000.00,0.33,,1/6/2021 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,12/16/2020,12/17/2020,1/7/2021,21,3134200000.00,0.33,,12/16/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,12/16/2020,12/17/2020,3/11/2021,84,514000000.00,0.33,,12/16/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,12/9/2020,12/10/2020,3/4/2021,84,75000000.00,0.33,,12/9/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,12/9/2020,12/10/2020,12/17/2020,7,40100000.00,0.34,,12/9/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,12/2/2020,12/3/2020,2/25/2021,84,14800000.00,0.33,,12/2/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,12/2/2020,12/3/2020,12/10/2020,7,100000000.00,0.33,,12/2/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,11/25/2020,11/27/2020,2/18/2021,83,40000000.00,0.33,,11/25/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,11/25/2020,11/27/2020,12/3/2020,6,109900000.00,0.34,,11/25/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,11/18/2020,11/19/2020,2/11/2021,84,170000000.00,0.33,,11/18/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,11/18/2020,11/19/2020,11/27/2020,8,51100000.00,0.34,,11/18/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,11/10/2020,11/12/2020,11/19/2020,7,61000000.00,0.34,,11/10/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,11/10/2020,11/12/2020,2/4/2021,84,100000000.00,0.33,,11/10/2020 9:00
Non-U.S. Dollar Liquidity Swap,Bank of Japan,JPY,11/6/2020,11/9/2020,11/10/2020,1,51000.00,0.221,Y,11/6/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,11/4/2020,11/5/2020,11/12/2020,7,195900000.00,0.34,,11/4/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,10/28/2020,10/29/2020,11/5/2020,7,141500000.00,0.33,,10/28/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,10/28/2020,10/29/2020,1/21/2021,84,115000000.00,0.33,,10/28/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,10/21/2020,10/22/2020,10/29/2020,7,37500000.00,0.34,,10/21/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,10/21/2020,10/22/2020,1/14/2021,84,12000000.00,0.33,,10/21/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,10/20/2020,10/22/2020,10/29/2020,7,30000000.00,0.34,,10/20/2020 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,10/14/2020,10/16/2020,10/22/2020,6,80000000.00,0.34,,10/14/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,10/14/2020,10/15/2020,1/7/2021,84,15000000.00,0.33,,10/14/2020 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,10/14/2020,10/15/2020,10/22/2020,7,49600000.00,0.34,,10/14/2020 9:00
